ICAO Manufacturer   Type            winglets       WV             MTOMkg         MLMkg          MZFMkg         OEMkg          MPMkg          MZFM-MTOM      OEM_MTOM       MPM_MTOM       Sref_m2        span_m         bf_m           delta2         COSsweep       AR             psi0           XhiDO          wing_constant  j2             j1             CLo            etaL_Do        OPR            BPR            FPR            F00ISAkn       mfmaxTO_kg_s   mfFISLSkg_s    MDO            CTdes          eta1           eta2           Mec            Tec            TETmaxclimb    TETmaxt_o      etaPC          MMO            FLMO           Vcasasl        pimaxPa        pinfcoPa       FFLyear        noengines     
RJ1H   BAESystems     RJ-100                  0           0   44225.00       40142.00       37421.00       25640.00       11781.00      0.8461503      0.5797626      0.2663878       77.30000       26.34000       3.500000      0.3531300E-01  0.9659258       8.975364       9.769274       1.023212      0.6818621      0.8689955      0.7401185E-01  0.6368114       3.247265       13.00000       5.100000       1.650000       124.0000       1.431200      0.1812000      0.6500000      0.4274146E-01  0.2743189      0.5339750      0.6875840       5.677433       1528.929       5.767411      0.8595960      0.7340000       350.0000      0.4753800       16954.77       39369.19       1987.000       4.000000    
B722   Boeing         727-200                 0           0   83820.00       70100.00       63560.00       44390.00       19170.00      0.7582916      0.5295872      0.2287044       157.9000       32.92000       3.760000      0.2609072E-01  0.8480481       6.863372       7.901955       1.057801      0.6867292      0.8650224      0.7205027E-01  0.4992137       3.689723       16.53938       1.028750       1.650000       203.7563       3.405863      0.4183500      0.7700000      0.3284992E-01  0.2860000      0.6265959      0.5565142       4.631876       1244.131       4.693099      0.7850286      0.9000000       420.0000      0.5700000       24977.43       36140.62       1967.000       2.000000    
A20N   Airbus         A320-NEO                1          54   79000.00       66300.00       62800.00       43600.00       19200.00      0.7949367      0.5518987      0.2430380       122.4000       35.10000       3.590000      0.2092207E-01  0.9063078       10.06544       7.519169      0.9561393      0.7862441      0.8726106      0.7561146E-01  0.5977522       6.437505       34.13435       11.63652       1.650000       255.7835       1.771292      0.1797146      0.7527000      0.3022532E-01  0.3631625      0.3852691      0.7870801       6.248204       1710.650       6.452897      0.9171876      0.8200000       410.0000      0.5244000       20882.79       37618.41       2014.000       2.000000    
A21N   Airbus         A321-NEO                1          52   93500.00       77300.00       73000.00       48000.00       25000.00      0.7807487      0.5133690      0.2673797       122.4000       35.27000       3.950000      0.2508495E-01  0.9063078       10.16318       8.080988      0.9736121      0.7769328      0.8730497      0.7705226E-01  0.6264427       6.502543       34.13435       11.63652       1.650000       255.7835       1.771292      0.1797146      0.7527000      0.3277486E-01  0.3795565      0.3852691      0.7870801       6.202229       1718.790       6.483604      0.9201434      0.8200000       391.0105      0.5244000       20882.79       37618.41       2016.000       2.000000    
B37M   Boeing         B737_MAX7               1           0   80285.00       66043.00       62913.00       42033.00       20880.00      0.7836208      0.5235474      0.2600735       121.8750       33.26000       3.760000      0.2556002E-01  0.9063078       9.076739       7.585064      0.9755070      0.7788683      0.8720919      0.7568698E-01  0.5727426       6.295944       40.14000       8.420000       1.650000       247.6000       2.002500      0.1890000      0.7632850      0.3053741E-01  0.3799401      0.4584450      0.7552058       6.283951       1726.418       6.512378      0.9229600      0.8200000       410.0000      0.5244000       20882.79       37618.41       2018.000       2.000000    
B38M   Boeing         B737_MAX8820            1           0   82644.00       69308.00       65952.00       45072.00       20880.00      0.7980253      0.5453753      0.2526499       121.8750       33.26000       3.760000      0.2556002E-01  0.9063078       9.076739       7.869375      0.9790608      0.7772999      0.8715707      0.7509895E-01  0.5810033       6.209095       40.14000       8.420000       1.650000       247.6000       2.002500      0.1890000      0.7632850      0.3163113E-01  0.3826010      0.4584450      0.7552058       6.256186       1718.790       6.483604      0.9201434      0.8200000       410.0000      0.5244000       20882.79       37618.41       2016.000       2.000000    
B39M   Boeing         B737_MAX9               1           0   88314.00       74343.00       70987.00       50107.00       20880.00      0.8038024      0.5673732      0.2364291       121.8750       33.26000       3.760000      0.2556002E-01  0.9063078       9.076739       8.058445      0.9941986      0.7687237      0.8720102      0.7625679E-01  0.5989262       6.239927       40.14000       8.420000       1.650000       247.6000       2.002500      0.1890000      0.7632850      0.3308909E-01  0.3901869      0.4584450      0.7552058       6.236986       1722.666       6.498225      0.9215686      0.8200000       410.0000      0.5244000       20882.79       37618.41       2017.000       2.000000    
BCS1   Airbus         A220-100                1           0   60781.00       51029.00       48987.00       35222.00       13765.00      0.8059591      0.5794903      0.2264688       115.0000       32.50000       3.505000      0.2326159E-01  0.8987940       9.184783       7.341280      0.9605950      0.7764367      0.8726169      0.7584807E-01  0.5759729       6.185990       36.10000       11.29000       1.650000       200.8000       1.438000      0.1480000      0.7536232      0.3039297E-01  0.3648190      0.3931525      0.7852374       6.230437       1706.377       6.436779      0.9156554      0.8200000       410.0000      0.5244000       20882.79       37618.41       2013.000       2.000000    
BCS3   Airbus         A220-200                1           0   70896.00       61008.00       58060.00       37082.00       20978.00      0.8189461      0.5230479      0.2958982       115.0000       32.50000       3.505000      0.2326159E-01  0.8987940       9.184783       7.724263      0.9639259      0.7751198      0.8721288      0.7519600E-01  0.5850192       6.055724       36.10000       11.29000       1.650000       200.8000       1.438000      0.1480000      0.7536232      0.3158163E-01  0.3653655      0.3931525      0.7852374       6.261141       1714.786       6.468500      0.9186833      0.8200000       410.0000      0.5244000       20882.79       37618.41       2015.000       2.000000    
B78X   Boeing         B787-10                 0           0   254011.0       201848.0       192776.0       135500.0       57276.00      0.7589278      0.5334415      0.2254863       377.0000       60.12000       5.770000      0.1842229E-01  0.8461931       9.587306       6.607026      0.9708868      0.7823117      0.8728814      0.7670318E-01  0.5127870       7.704002       46.44000       8.860000       1.650000       688.5600       5.332569      0.4747316      0.8154250      0.2431804E-01  0.4003561      0.4484350      0.7615206       6.188500       1722.666       6.498225      0.9215686      0.9000000       411.0000      0.5700000       24977.43       36140.62       2017.000       2.000000    
A35K   Airbus         A350-1000               1           2   316000.0       236000.0       223000.0       156000.0       67000.00      0.7056962      0.4936709      0.2120253       465.0000       64.75000       5.960000      0.1694505E-01  0.8480481       9.016263       6.183085      0.9668837      0.7888991      0.8736268      0.7778775E-01  0.4995648       8.147694       48.57000       8.040000       1.650000       873.4000       7.014000      0.6500000      0.8202500      0.2234763E-01  0.3998243      0.4670900      0.7492535       6.172981       1718.790       6.483604      0.9201434      0.8900000       414.5000      0.5643000       24441.49       36319.05       2016.000       2.000000    
A338   Airbus         A330-800                0           0   242000.0       186000.0       174000.0       132000.0       42000.00      0.7190083      0.5454546      0.1735537       374.0000       64.00000       5.640000      0.1553203E-01  0.8660254       10.95187       6.212991      0.9588779      0.7805836      0.8736316      0.7757831E-01  0.5302164       8.328327       45.40000       9.000000       1.650000       655.6000       4.956000      0.4820000      0.7860000      0.2290037E-01  0.4004149      0.4452500      0.7634000       6.246060       1726.418       6.512378      0.9229600      0.8600000       414.5000      0.5472000       22875.41       36864.53       2018.000       2.000000    
A339   Airbus         A330-900                0           0   242000.0       191000.0       181000.0       135000.0       46000.00      0.7479339      0.5578513      0.1900826       374.0000       64.00000       5.640000      0.1553203E-01  0.8660254       10.95187       6.463251      0.9624681      0.7791692      0.8731923      0.7691801E-01  0.5394691       8.110705       45.40000       9.000000       1.650000       655.6000       4.956000      0.4820000      0.7860000      0.2388774E-01  0.3997884      0.4452500      0.7634000       6.232486       1722.666       6.498225      0.9215686      0.8600000       414.5000      0.5472000       22875.41       36864.53       2017.000       2.000000    
E190   Embraer        EMB-190STD              1           0   47790.00       43000.00       40800.00       27900.00       12900.00      0.8537351      0.5838041      0.2699310       86.00000       27.71000       2.740000      0.1955501E-01  0.9238795       8.928420       7.898386      0.9996837      0.7696797      0.8702466      0.7435290E-01  0.5940431       4.694161       27.30000       5.090000       1.650000       167.4000       1.740000      0.1760000      0.7575250      0.3384610E-01  0.3102238      0.5342025      0.6873270       6.070895       1660.976       6.265516      0.9000699      0.8200000       410.0000      0.5244000       20882.79       37618.41       2004.000       2.000000    
E75L   Embraer        E170-200(lon            1           0   40370.00       34100.00       32000.00       21890.00       10110.00      0.5422344      0.5422344      0.2504335       83.00000       25.00000       3.000000      0.2880000E-01  0.9238795       7.530120       7.971000       1.001508      0.7413689      0.8708181      0.7508419E-01  0.5563906       3.878714       23.31400       5.130000       1.650000       120.1140       1.315160      0.1290800      0.7330000      0.3451993E-01  0.2839990      0.5332925      0.6883529       6.057293       1648.953       6.220163      0.8961229      0.8200000       410.0000      0.5244000       20882.79       37618.41       2002.000       2.000000    
E75S   Embraer        E170-200(sho            1           0   40370.00       34100.00       32000.00       21890.00       10110.00      0.5422344      0.5422344      0.2504335       83.00000       25.00000       3.000000      0.2880000E-01  0.9238795       7.530120       7.845215      0.9993869      0.7423377      0.8711324      0.7537029E-01  0.5524074       3.916525       23.31400       5.130000       1.650000       120.1140       1.315160      0.1290800      0.7330000      0.3392619E-01  0.2838674      0.5332925      0.6883529       6.057293       1648.953       6.220163      0.8961229      0.8200000       410.0000      0.5244000       20882.79       37618.41       2002.000       2.000000    
E290   Embraer        E190-E2                 0           0   56400.00       49050.00       46700.00       33000.00       13700.00      0.8280142      0.5851064      0.2429078       110.0000       33.72000       3.000000      0.1583060E-01  0.9238795       10.33671       6.992080      0.9490327      0.8056125      0.8737814      0.7755603E-01  0.5778776       6.546016       33.27000       11.60000       1.650000       185.5800       1.300000      0.1400000      0.7580000      0.2918053E-01  0.3678698      0.3861000      0.7869040       6.267767       1718.790       6.483604      0.9201434      0.8200000       410.0000      0.5244000       20882.79       37618.41       2016.000       2.000000    
E295   Embraer        E195-E2                 0           0   61500.00       54000.00       51850.00       35750.00       16100.00      0.8430894      0.5813008      0.2617886       110.0000       35.12000       3.000000      0.1459364E-01  0.9238795       11.21286       7.518187      0.9556957      0.8046221      0.8726871      0.7572700E-01  0.6133351       6.348909       35.76000       11.36000       1.650000       200.6000       1.420000      0.1400000      0.7580000      0.3122696E-01  0.3602862      0.3915600      0.7856407       6.281664       1722.666       6.498225      0.9215686      0.8200000       410.0000      0.5244000       20882.79       37618.41       2017.000       2.000000    
