ICAO Manufacturer   Type            winglets       WV             MTOMkg         MLMkg          MZFMkg         OEMkg          MPMkg          MZFM-MTOM      OEM_MTOM       MPM_MTOM       Sref_m2        span_m         bf_m           delta2         COSsweep       AR             psi0           XhiDO          wing_constant  j2             j1             CLo            etaL_Do        OPR            BPR            FPR            F00ISAkn       mfmaxTO_kg_s   mfFISLSkg_s    MDO            CTdes          eta1           eta2           Mec            Tec            TETmaxclimb    TETmaxt_o      etaPC          MMO            FLMO           Vcasasl        pimaxPa        pinfcoPa       FFLyear        noengines     
A343   Airbus         A340-300                0           1   257000.0       186000.0       174000.0       125242.0       48758.00      0.6770428      0.4873230      0.1897198       361.6000       60.30000       5.640000      0.1749660E-01  0.8686315       10.05556       7.383954       1.000285      0.7573768      0.8716494      0.7601021E-01  0.5614747       6.610070       29.95000       6.700000       1.650000       579.4667       5.516000      0.4824000      0.7864750      0.2808274E-01  0.3725803      0.4975750      0.7245760       5.663601       1566.850       5.910456      0.8706611      0.8600000       415.0000      0.5472000       22875.41       36864.53       1991.000       4.000000    
A345   Airbus         A340-500                0           1   372000.0       243000.0       230000.0       170370.0       59630.00      0.6182796      0.4579839      0.1602957       437.3000       63.45000       5.640000      0.1580247E-01  0.8562670       9.206271       6.730844      0.9849374      0.7619522      0.8736389      0.7818237E-01  0.5119997       6.777298       36.17667       7.500000       1.650000       1036.400       8.786667      0.9200000      0.7961250      0.2451351E-01  0.3619591      0.4793750      0.7400000       5.668647       1648.953       6.220163      0.8961229      0.8600000       414.5013      0.5472000       22875.41       36864.53       2002.000       4.000000    
A346   Airbus         A340-600                0           1   368000.0       259000.0       245000.0       176364.0       68636.00      0.6657609      0.4792500      0.1865109       437.3000       63.45000       5.640000      0.1580247E-01  0.8562670       9.206271       7.056856      0.9906521      0.7594813      0.8729735      0.7739421E-01  0.5231560       6.815977       36.67000       7.500000       1.650000       1050.800       8.960000      0.9200000      0.7961250      0.2581457E-01  0.3751706      0.4793750      0.7400000       5.681833       1642.642       6.196356      0.8940769      0.8600000       415.0000      0.5472000       22875.41       36864.53       2001.000       4.000000    
A359   Airbus         A350-900                0           9   275000.0       207000.0       195700.0       146600.0       49100.00      0.7116364      0.5330909      0.1785455       445.0000       64.75000       5.960000      0.1694505E-01  0.8480481       9.421489       6.140290      0.9623616      0.7914132      0.8739439      0.7822743E-01  0.4933329       8.125436       41.09500       9.010000       1.650000       758.0000       5.638000      0.5820000      0.8202500      0.2249684E-01  0.4046915      0.4450225      0.7635319       6.122466       1706.377       6.436779      0.9156554      0.8900000       431.0006      0.5643000       24441.49       36319.05       2013.000       2.000000    
A388   Airbus         A380-800                0           2   569000.0       391000.0       366000.0       275000.0       91000.00      0.6432337      0.4833041      0.1599297       845.0000       79.80000       7.142000      0.1602005E-01  0.8660254       7.536142       6.132046      0.9666383      0.7944002      0.8759624      0.8184030E-01  0.4464464       7.498482       38.07667       7.903333       1.650000       1350.653       10.56933       1.072000      0.8202500      0.2162495E-01  0.3986773      0.4701992      0.7469997       5.869080       1666.701       6.287111      0.9019732      0.8900000       431.0006      0.5643000       24441.49       36319.05       2005.000       4.000000    
B712   Boeing         B717-200                0          -1   54884.00       49898.00       45586.00       31071.00       14515.00      0.8305882      0.5661213      0.2644669       92.75000       28.40000       3.400000      0.2866495E-01  0.9063078       8.696065       8.722340       1.035797      0.6847503      0.8673070      0.7298002E-01  0.5935414       4.555779       30.47250       4.607500       1.650000       179.0250       1.815500      0.2010000      0.7000000      0.3760372E-01  0.3505839      0.5451794      0.6745485       5.998302       1622.430       6.120114      0.8876346      0.8200000       370.9974      0.5244000       20882.79       37618.41       1998.000       2.000000    
B732   Boeing         B737-200                0           5   52390.00       46720.00       43092.00       27125.00       15967.00      0.8225234      0.5177515      0.3047719       99.00000       28.35000       3.760000      0.3518030E-01  0.9063078       8.118409       8.406145       1.040134      0.6776841      0.8665733      0.7253815E-01  0.5564792       3.340773       16.59231       1.029231       1.650000       137.0739       2.302092      0.2802154      0.7000000      0.3587974E-01  0.2693436      0.6265850      0.5565328       4.655496       1244.131       4.693099      0.7850286      0.8200000       370.0000      0.5244000       20882.79       37618.41       1967.000       2.000000    
B733   Boeing         B737-300                0           3   61236.00       51710.00       48308.00       32904.00       15404.00      0.7888824      0.5373310      0.2515514       102.0000       28.90000       3.760000      0.3385400E-01  0.9063078       8.188334       9.200303       1.023914      0.7152346      0.8670012      0.7216904E-01  0.5777956       4.096980       23.33500       5.100000       1.650000       187.3000       2.014000      0.2340000      0.7285750      0.3844257E-01  0.3228028      0.5339750      0.6875840       5.504888       1497.072       5.647240      0.8505684      0.8200000       390.0000      0.5244000       20882.79       37618.41       1984.000       2.000000    
B734   Boeing         B737-400                0           6   68039.00       56246.00       53070.00       33643.00       19427.00      0.7799938      0.4944664      0.2855274       102.5000       28.90000       3.760000      0.3385400E-01  0.9063078       8.148390       8.898193       1.032442      0.7100778      0.8683866      0.7380002E-01  0.5791920       4.130101       23.63333       5.100000       1.650000       190.1267       2.054667      0.2360000      0.7285750      0.3771902E-01  0.3185178      0.5339750      0.6875840       5.587043       1538.876       5.804934      0.8624631      0.8200000       370.0000      0.5244000       20882.79       37618.41       1988.000       2.000000    
B735   Boeing         B737-500                0           3   60555.00       49895.00       46494.00       31312.00       15182.00      0.7677979      0.5170836      0.2507142       103.7000       28.90000       3.760000      0.3385400E-01  0.9063078       8.054098       8.334510       1.009338      0.7211646      0.8696534      0.7411344E-01  0.5500081       4.054638       23.33500       5.100000       1.650000       187.3000       2.014000      0.2340000      0.7285750      0.3458622E-01  0.3019405      0.5339750      0.6875840       5.694015       1548.506       5.841257      0.8652619      0.8200000       370.0000      0.5244000       20882.79       37618.41       1989.000       2.000000    
B736   Boeing         B737-600                0           3   65544.00       55112.00       51936.00       36378.00       15558.00      0.7923837      0.5550165      0.2373673       124.6000       34.30000       3.760000      0.2403352E-01  0.9063078       9.442135       7.424659      0.9942064      0.7591602      0.8710819      0.7511160E-01  0.5635466       5.269029       23.16273       5.390909       1.650000       189.9709       1.880909      0.1974545      0.7575250      0.3095561E-01  0.3350741      0.5273568      0.6949192       5.900578       1615.243       6.093002      0.8853815      0.8200000       410.0000      0.5244000       20882.79       37618.41       1997.000       2.000000    
B737   Boeing         B737-700                0           3   70080.00       58604.00       55202.00       37648.00       17554.00      0.7876998      0.5372146      0.2504852       124.6000       34.30000       3.760000      0.2403352E-01  0.9063078       9.442135       7.610623      0.9970927      0.7576259      0.8707271      0.7480281E-01  0.5673639       5.021956       25.63261       5.239130       1.650000       214.1278       2.175826      0.2096522      0.7575250      0.3149051E-01  0.3230042      0.5308098      0.6911259       5.902112       1615.243       6.093002      0.8853815      0.8200000       410.0000      0.5244000       20882.79       37618.41       1997.000       2.000000    
B738   Boeing         B737-800                0           3   79016.00       66361.00       61689.00       41413.00       20276.00      0.7807153      0.5241091      0.2566063       124.6000       34.30000       3.760000      0.2403352E-01  0.9063078       9.442135       8.181517       1.005234      0.7537423      0.8695019      0.7376998E-01  0.5812673       4.983308       27.74870       5.126087       1.650000       233.3696       2.432435      0.2186957      0.7575250      0.3346254E-01  0.3326812      0.5333815      0.6882528       5.903335       1615.243       6.093002      0.8853815      0.8200000       410.0000      0.5244000       20882.79       37618.41       1997.000       2.000000    
B739   Boeing         B737-900ER              0           2   85139.00       71350.00       67721.00       44676.00       23045.00      0.7954169      0.5247419      0.2706750       124.6000       34.32000       3.760000      0.2400552E-01  0.9063078       9.453149       7.928345       1.013309      0.7487587      0.8707845      0.7546026E-01  0.5850413       5.003070       27.74870       5.126087       1.650000       233.3696       2.432435      0.2186957      0.7575250      0.3295000E-01  0.3267631      0.5333815      0.6882528       6.102506       1672.242       6.308015      0.9038311      0.8200000       410.0000      0.5244000       20882.79       37618.41       2006.000       2.000000    
B742   Boeing         B747-200B               0           4   371900.0       285700.0       238780.0       175970.0       62810.00      0.6420543      0.4731648      0.1688895       511.0000       59.64000       6.500000      0.2375644E-01  0.7933533       6.960723       7.019056       1.038496      0.6916127      0.8679764      0.7366515E-01  0.4583195       5.337545       24.73333       4.773334       1.650000       882.3333       9.110400      0.8978400      0.8100000      0.2593071E-01  0.3384812      0.5414067      0.6790245       4.612144       1316.770       4.967107      0.8029464      0.9000000       450.0000      0.5700000       24977.43       36140.62       1971.000       4.000000    
B743   Boeing         B747-300                0           0   377800.0       260320.0       242630.0       174820.0       67810.00      0.6422181      0.4627316      0.1794865       511.0000       59.64000       6.500000      0.2375644E-01  0.7826081       6.960723       6.881752       1.041628      0.6825317      0.8672878      0.7319760E-01  0.4529437       5.374952       25.81737       4.757895       1.650000       898.8126       9.187158      0.9094526      0.8100000      0.2534418E-01  0.3371224      0.5417579      0.6786115       5.050681       1449.464       5.467652      0.8374700      0.9000000       450.0000      0.5700000       24977.43       36140.62       1980.000       4.000000    
