icao_code,iata_code,latitude,longitude,elevation_ft,airport_name,airport_type,iso_country,iso_region,municipality,scheduled_service
SBQC,xxx,-13.366514000000002,-55.8551,1421.0,Fazenda Cantagalo Airstrip,small_airport,BR,BR-MT,Nova Mutum,no
SBQD,xxx,-9.523333000000001,-56.238333,899.0,Fazenda Vaca Branca Airport,small_airport,BR,BR-MT,Alta Floresta,no
SBQE,xxx,-7.804289,-45.057598,1424.0,Fazenda Tradição Airport,small_airport,BR,BR-PI,Ribeiro Gonçalves,no
SBQF,xxx,-29.461667,-53.463611,381.0,Ferigolo Heliport,heliport,BR,BR-RS,Nova Palma,no
SBQG,xxx,-13.513056,-56.598333,1076.0,Fazenda Rio Azul Airport,small_airport,BR,BR-MT,São José do Rio Claro,no
SBQH,xxx,-10.699027000000001,-51.614688,728.0,CMTE Juliano Rambo Airstrip,small_airport,BR,BR-MT,Confresa,no
SBQI,xxx,1.8438900000000003,-61.121827,184.0,Caracaraí Airport,small_airport,BR,BR-RR,Caracaraí,no
SBQJ,xxx,-23.846435999999997,-50.208428999999995,2615.0,Osvaldo de Carvalho Airport,small_airport,BR,BR-PR,Ibaiti,no
SBQK,xxx,-6.539099,-51.442256,778.0,Fazenda Mundial Airport,small_airport,BR,BR-PA,São Félix do Xingu,no
SBQL,xxx,-23.984845999999997,-46.294311,85.0,Centro de Convenções Ponta da Praia Helipad,heliport,BR,BR-SP,Santos,no
SBQM,xxx,-22.765333,-53.908333999999996,1214.0,Fazenda São Miguel Airstrip,small_airport,BR,BR-MS,Iateí,no
SBQN,xxx,-15.575414000000002,-57.378181999999995,512.0,Fazenda Nossa Senhora Aparecida II Airstrip,small_airport,BR,BR-MT,Porto Estrela,no
SBQO,xxx,-17.0275,-39.176111,59.0,Fazenda Paraíso Airstrip,small_airport,BR,BR-BA,Prado,no
SBQP,xxx,-7.7523919999999995,-44.315921,1526.0,Fazenda Três Santos Airstrip,small_airport,BR,BR-PI,Uruçuí,no
SBQQ,xxx,-23.018611,-44.319444,33.0,Comandante Gravatá Helipad,heliport,BR,BR-RJ,Angra dos Reis,no
SBQR,xxx,-16.80878,-44.97319,1617.0,Fazenda Arena de Aço Airport,small_airport,BR,BR-MG,Buritizeiro,no
SBQS,xxx,-15.405795000000001,-54.964051,2208.0,Santa Rosa Airstrip,small_airport,BR,BR-MT,Campo Verde,no
SBQT,xxx,-15.801978,-53.556394999999995,1877.0,Fazenda Campo Formoso Airstrip,small_airport,BR,BR-MT,Tesouro,no
SBQU,xxx,-7.204121000000001,-48.219863000000004,659.0,Hungaro Helipark,heliport,BR,BR-TO,Araguaína,no
SBQW,xxx,-22.355589000000002,-47.37373,2041.0,Paíto Motors Helipad,heliport,BR,BR-SP,Araras,no
SBQX,xxx,-13.578332999999999,-57.936944,1841.0,Fazenda São Carlos Airstrip,small_airport,BR,BR-MT,Campo Novo do Parecis,no
SBQY,xxx,-23.530395000000002,-46.93712,2730.0,LDB - Itapevi Heliport,heliport,BR,BR-SP,Itapevi,no
SBQZ,xxx,-22.240253,-48.319210999999996,1696.0,Fazenda Mariane Heliport,heliport,BR,BR-SP,Brotas,no
SBRB,RBR,-9.869031,-67.893984,633.0,Rio Branco-Plácido de Castro International Airport,medium_airport,BR,BR-AC,Rio Branco,yes
SBRC,xxx,-21.905,-39.737221999999996,105.0,Petrobrás P-52 Platform Helipad,heliport,BR,BR-RJ,Macaé,no
SBRD,ROO,-16.586,-54.7248,1467.0,Maestro Marinho Franco Airport,medium_airport,BR,BR-MT,Rondonópolis,yes
SBRF,REC,-8.126489999999999,-34.923598999999996,33.0,Recife/Guararapes - Gilberto Freyre International Airport,medium_airport,BR,BR-PE,Recife,yes
SBRJ,SDU,-22.910499572800003,-43.1631011963,11.0,Santos Dumont Airport,medium_airport,BR,BR-RJ,Rio De Janeiro,yes
SBRP,RAO,-21.136388778686523,-47.77666854858398,1806.0,Leite Lopes Airport,medium_airport,BR,BR-SP,Ribeirão Preto,yes
SBSC,SNZ,-22.9324,-43.719101,10.0,Santa Cruz Air Force Base,medium_airport,BR,BR-RJ,Rio de Janeiro,no
